region,year,month,temp_max,temp_avg_daily_max,temp_min_daily_max,temp_max_daily_avg,temp_avg,temp_min_daily_avg,temp_max_daily_min,temp_avg_daily_min,temp_min,dew_pt_max,dew_pt_avg,dew_pt_min,precipitation_max,precipitation_avg,precipitation_min,precipitation_sum,snow_depth_max,snow_depth_avg,snow_depth_min,snow_depth_sum,wind_max,wind_avg,wind_min,gust_max,gust_avg,gust_min,sea_level_preassure_max,sea_level_preassure_avg,sea_level_preassure_min
andaman-and-nicobar-islands,2010,january,28.0°C (82.4°F),27.55°C (81.59°F),27.0°C (80.6°F),28.0°C (82.4°F),27.42°C (81.36°F),27.0°C (80.6°F),28.0°C (82.4°F),27.13°C (80.83°F),26.0°C (78.8°F),24.0°C (75.2°F),23.13°C (73.63°F),21.0°C (69.8°F),5.3mm | 0.21in,0.9mm | 0.04in,0.0mm | 0in,28.0mm | 1.1in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,26.0kmh | 16.16mph,17.71kmh | 11.0mph,10.0kmh | 6.21mph,35.0kmh | 21.75mph,24.71kmh | 15.35mph,15.0kmh | 9.32mph,5.3mb,0.9mb,0.0mb
andaman-and-nicobar-islands,2010,february,28.0°C (82.4°F),27.54°C (81.57°F),26.0°C (78.8°F),28.0°C (82.4°F),27.46°C (81.43°F),26.0°C (78.8°F),28.0°C (82.4°F),27.04°C (80.67°F),26.0°C (78.8°F),24.0°C (75.2°F),22.04°C (71.67°F),18.0°C (64.4°F),0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,23.0kmh | 14.29mph,15.68kmh | 9.74mph,7.0kmh | 4.35mph,31.0kmh | 19.26mph,21.68kmh | 13.47mph,10.0kmh | 6.21mph,0.0mb,0.0mb,0.0mb
andaman-and-nicobar-islands,2010,march,30.0°C (86.0°F),28.48°C (83.26°F),27.0°C (80.6°F),30.0°C (86.0°F),28.39°C (83.1°F),27.0°C (80.6°F),29.0°C (84.2°F),27.87°C (82.17°F),26.0°C (78.8°F),25.0°C (77.0°F),23.0°C (73.4°F),20.0°C (68.0°F),1.5mm | 0.06in,0.14mm | 0.01in,0.0mm | 0in,4.2mm | 0.17in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,19.0kmh | 11.81mph,10.13kmh | 6.29mph,4.0kmh | 2.49mph,27.0kmh | 16.78mph,14.1kmh | 8.76mph,6.0kmh | 3.73mph,1.5mb,0.14mb,0.0mb
andaman-and-nicobar-islands,2010,april,30.0°C (86.0°F),29.73°C (85.51°F),29.0°C (84.2°F),30.0°C (86.0°F),29.67°C (85.41°F),29.0°C (84.2°F),30.0°C (86.0°F),29.2°C (84.56°F),28.0°C (82.4°F),25.0°C (77.0°F),24.47°C (76.05°F),23.0°C (73.4°F),2.5mm | 0.1in,0.42mm | 0.02in,0.0mm | 0in,12.5mm | 0.49in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,13.0kmh | 8.08mph,7.0kmh | 4.35mph,4.0kmh | 2.49mph,18.0kmh | 11.18mph,9.63kmh | 5.98mph,5.0kmh | 3.11mph,2.5mb,0.42mb,0.0mb
andaman-and-nicobar-islands,2010,may,31.0°C (87.8°F),30.45°C (86.81°F),30.0°C (86.0°F),31.0°C (87.8°F),30.26°C (86.47°F),30.0°C (86.0°F),31.0°C (87.8°F),29.55°C (85.19°F),29.0°C (84.2°F),27.0°C (80.6°F),25.39°C (77.7°F),23.0°C (73.4°F),30.1mm | 1.19in,4.81mm | 0.19in,0.0mm | 0in,149.1mm | 5.87in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,38.0kmh | 23.61mph,16.35kmh | 10.16mph,3.0kmh | 1.86mph,57.0kmh | 35.42mph,23.52kmh | 14.61mph,4.0kmh | 2.49mph,30.1mb,4.81mb,0.0mb
andaman-and-nicobar-islands,2010,june,30.0°C (86.0°F),29.27°C (84.69°F),29.0°C (84.2°F),30.0°C (86.0°F),29.17°C (84.51°F),28.0°C (82.4°F),30.0°C (86.0°F),28.67°C (83.61°F),28.0°C (82.4°F),26.0°C (78.8°F),25.2°C (77.36°F),24.0°C (75.2°F),25.9mm | 1.02in,7.09mm | 0.28in,0.1mm | 0.0in,212.6mm | 8.37in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,41.0kmh | 25.48mph,26.67kmh | 16.57mph,18.0kmh | 11.18mph,62.0kmh | 38.53mph,38.63kmh | 24.0mph,26.0kmh | 16.16mph,25.9mb,7.09mb,0.1mb
andaman-and-nicobar-islands,2010,july,29.0°C (84.2°F),28.81°C (83.86°F),28.0°C (82.4°F),29.0°C (84.2°F),28.35°C (83.03°F),27.0°C (80.6°F),29.0°C (84.2°F),28.06°C (82.51°F),27.0°C (80.6°F),25.0°C (77.0°F),24.61°C (76.3°F),24.0°C (75.2°F),24.5mm | 0.96in,7.8mm | 0.31in,0.0mm | 0in,241.8mm | 9.52in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,42.0kmh | 26.1mph,24.61kmh | 15.29mph,12.0kmh | 7.46mph,67.0kmh | 41.63mph,36.32kmh | 22.57mph,17.0kmh | 10.56mph,24.5mb,7.8mb,0.0mb
andaman-and-nicobar-islands,2010,august,29.0°C (84.2°F),28.71°C (83.68°F),28.0°C (82.4°F),29.0°C (84.2°F),28.45°C (83.21°F),28.0°C (82.4°F),28.0°C (82.4°F),27.9°C (82.22°F),27.0°C (80.6°F),25.0°C (77.0°F),24.65°C (76.37°F),24.0°C (75.2°F),25.6mm | 1.01in,10.05mm | 0.4in,2.1mm | 0.08in,311.4mm | 12.26in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,40.0kmh | 24.85mph,27.58kmh | 17.14mph,12.0kmh | 7.46mph,59.0kmh | 36.66mph,41.77kmh | 25.95mph,17.0kmh | 10.56mph,25.6mb,10.05mb,2.1mb
andaman-and-nicobar-islands,2010,september,29.0°C (84.2°F),28.77°C (83.79°F),28.0°C (82.4°F),29.0°C (84.2°F),28.3°C (82.94°F),28.0°C (82.4°F),28.0°C (82.4°F),27.97°C (82.35°F),27.0°C (80.6°F),25.0°C (77.0°F),24.17°C (75.51°F),23.0°C (73.4°F),24.8mm | 0.98in,6.87mm | 0.27in,0.1mm | 0.0in,206.0mm | 8.11in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,33.0kmh | 20.51mph,18.93kmh | 11.76mph,5.0kmh | 3.11mph,51.0kmh | 31.69mph,28.03kmh | 17.42mph,8.0kmh | 4.97mph,24.8mb,6.87mb,0.1mb
andaman-and-nicobar-islands,2010,october,29.0°C (84.2°F),28.71°C (83.68°F),28.0°C (82.4°F),29.0°C (84.2°F),28.29°C (82.92°F),27.0°C (80.6°F),28.0°C (82.4°F),27.68°C (81.82°F),27.0°C (80.6°F),25.0°C (77.0°F),24.03°C (75.25°F),23.0°C (73.4°F),22.3mm | 0.88in,8.15mm | 0.32in,0.1mm | 0.0in,252.8mm | 9.95in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,35.0kmh | 21.75mph,19.61kmh | 12.19mph,4.0kmh | 2.49mph,54.0kmh | 33.55mph,29.19kmh | 18.14mph,6.0kmh | 3.73mph,22.3mb,8.15mb,0.1mb
andaman-and-nicobar-islands,2010,november,29.0°C (84.2°F),28.63°C (83.53°F),28.0°C (82.4°F),29.0°C (84.2°F),28.33°C (82.99°F),27.0°C (80.6°F),28.0°C (82.4°F),27.67°C (81.81°F),26.0°C (78.8°F),24.0°C (75.2°F),23.7°C (74.66°F),22.0°C (71.6°F),42.1mm | 1.66in,9.25mm | 0.36in,0.1mm | 0.0in,277.6mm | 10.93in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,36.0kmh | 22.37mph,18.8kmh | 11.68mph,6.0kmh | 3.73mph,61.0kmh | 37.9mph,28.73kmh | 17.85mph,10.0kmh | 6.21mph,42.1mb,9.25mb,0.1mb
