region,year,month,temp_max_C,temp_avg_daily_max_C,temp_min_daily_max_C,temp_max_daily_avg_C,temp_avg_C,temp_min_daily_avg_C,temp_max_daily_min_C,temp_avg_daily_min_C,temp_min_C,dew_pt_max_C,dew_pt_avg_C,dew_pt_min_C,precipitation_max_mm,precipitation_avg_mm,precipitation_min_mm,precipitation_sum_mm,snow_depth_max_mm,snow_depth_avg_mm,snow_depth_min_mm,snow_depth_sum_mm,wind_max_kmh,wind_avg_kmh,wind_min_kmh,gust_max_kmh,gust_avg_kmh,gust_min_kmh,sea_level_preassure_max_mb,sea_level_preassure_avg_mb,sea_level_preassure_min_mb
andaman-and-nicobar-islands,2010,january,28.0,27.55,27.0,28.0,27.42,27.0,28.0,27.13,26.0,24.0,23.13,21.0,5.3,0.9,0.0,28.0,0.0,0.0,0.0,0.0,26.0,17.71,10.0,35.0,24.71,15.0,5.3,0.9,0.0
andaman-and-nicobar-islands,2010,february,28.0,27.54,26.0,28.0,27.46,26.0,28.0,27.04,26.0,24.0,22.04,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,15.68,7.0,31.0,21.68,10.0,0.0,0.0,0.0
andaman-and-nicobar-islands,2010,march,30.0,28.48,27.0,30.0,28.39,27.0,29.0,27.87,26.0,25.0,23.0,20.0,1.5,0.14,0.0,4.2,0.0,0.0,0.0,0.0,19.0,10.13,4.0,27.0,14.1,6.0,1.5,0.14,0.0
andaman-and-nicobar-islands,2010,april,30.0,29.73,29.0,30.0,29.67,29.0,30.0,29.2,28.0,25.0,24.47,23.0,2.5,0.42,0.0,12.5,0.0,0.0,0.0,0.0,13.0,7.0,4.0,18.0,9.63,5.0,2.5,0.42,0.0
andaman-and-nicobar-islands,2010,may,31.0,30.45,30.0,31.0,30.26,30.0,31.0,29.55,29.0,27.0,25.39,23.0,30.1,4.81,0.0,149.1,0.0,0.0,0.0,0.0,38.0,16.35,3.0,57.0,23.52,4.0,30.1,4.81,0.0
andaman-and-nicobar-islands,2010,june,30.0,29.27,29.0,30.0,29.17,28.0,30.0,28.67,28.0,26.0,25.2,24.0,25.9,7.09,0.1,212.6,0.0,0.0,0.0,0.0,41.0,26.67,18.0,62.0,38.63,26.0,25.9,7.09,0.1
andaman-and-nicobar-islands,2010,july,29.0,28.81,28.0,29.0,28.35,27.0,29.0,28.06,27.0,25.0,24.61,24.0,24.5,7.8,0.0,241.8,0.0,0.0,0.0,0.0,42.0,24.61,12.0,67.0,36.32,17.0,24.5,7.8,0.0
andaman-and-nicobar-islands,2010,august,29.0,28.71,28.0,29.0,28.45,28.0,28.0,27.9,27.0,25.0,24.65,24.0,25.6,10.05,2.1,311.4,0.0,0.0,0.0,0.0,40.0,27.58,12.0,59.0,41.77,17.0,25.6,10.05,2.1
andaman-and-nicobar-islands,2010,september,29.0,28.77,28.0,29.0,28.3,28.0,28.0,27.97,27.0,25.0,24.17,23.0,24.8,6.87,0.1,206.0,0.0,0.0,0.0,0.0,33.0,18.93,5.0,51.0,28.03,8.0,24.8,6.87,0.1
andaman-and-nicobar-islands,2010,october,29.0,28.71,28.0,29.0,28.29,27.0,28.0,27.68,27.0,25.0,24.03,23.0,22.3,8.15,0.1,252.8,0.0,0.0,0.0,0.0,35.0,19.61,4.0,54.0,29.19,6.0,22.3,8.15,0.1
